TableName           |Count|First               |Last                
--------------------+-----+--------------------+--------------------
Currencies          |    4|EUR                 |EEK                 
Products            |    2|Chair               |Table               
Journals            |    1|outgoing invoices   |outgoing invoices   
BankStatements      |    0|                    |                    
MiscOperations      |    0|                    |                    
Invoices            |    1|OUT-1               |OUT-1               
InvoiceLines        |    2|ProductInvoiceLine(O|ProductInvoiceLine(O
                    |     |UT,1,1)             |UT,1,2)             
BalanceItems        |    0|                    |                    
CashFlowItems       |    0|                    |                    
ProfitAndLossItems  |   17|TULUD               |Ärikasum (-kahjum)  
Accounts            |    0|                    |                    
Bookings            |    0|                    |                    
Languages           |    5|English             |Dutch               
Nations             |    5|Estonia             |United States of    
                    |     |                    |America             
Cities              |   26|Bruxelles (be)      |Kohtla-Järve (ee)   
Organisations       |    5|Kurtz & Büntig      |Mets & puu OÜ       
Persons             |   15|Andreas Arens       |Hans Flott          
Functions           |    3|Director            |Sales representant  
Contacts            |   19|Andreas Arens       |Bäckerei Ausdemwald 
                    |     |                    |(Anton Ausdemwald)  
